Spring Boot is a coding and configuration model for Java applications.
spring-boot:        spring-boot 项目实践总结
pybbs:        更实用的Java开发的社区(论坛)，Better use of Java development community (forum)
spring-cloud-study:        开源书《跟我学Spring Cloud》的配套代码。讨论QQ群：731548893
mycollab:        An open source, free, high performance, stable and secure Java Application Business Platform of Project Management and Document
blog:        SpringBoot + Mybatis + thymeleaf 搭建的个人博客 http://www.54tianzhisheng.cn/
White-Jotter:        白卷是一款使用 Vue+Spring Boot 开发的前后端分离项目，附带全套开发教程。（A simple CMS developed by Spring Boot and Vue.js with development tutorials）
micro-server:        Microserver is a Java 8 native, zero configuration, standards based, battle hardened library to run Java Rest Microservices via a standard Java main class. Supporting pure Microservice or Micro-monolith styles.
gs-rest-service:        Building a RESTful Web Service :: Learn how to create a RESTful web service with Spring.
springboot-project:        这是一个用SpringBoot+JPA打造的基于微信服务号平台的点餐系统的后端，前端是一个使用Vue.js构建的运行于微信公众号的WebApp。前后端完全分离，前后端之间通过RESTful风格的接口相连。
jbone:        jbone基于Spring Cloud框架开发，旨在为中小企业提供稳定的微服务解决方案，为开发人员提供基础开发骨架，jbone包含微服务中所有常用组件，例如注册中心、服务管理、服务监控、JVM监控、内存分析、调用链跟踪、API网关等等。业务功能包括系统权限的统一管理、单点登录、CMS、电商平台、工作流平台、支付平台等等。
springboot-dubbox:        基于Spring-boot和dubbox的API接口和后台管理系统
pacbot:        PacBot (Policy as Code Bot)
dubbo-spring-boot-mybatis-redis:        通过dubbo+spring boot+mybatis+redis等主流技术搭建成一套分布式服务框架
FEBS-Cloud:        基于Spring Cloud Hoxton.RELEASE、Spring Cloud OAuth2 & Spring Cloud Alibaba & Element 微服务权限系统，开箱即用。预览地址：https://cloud.mrbird.cn
X-SpringBoot:        X-SpringBoot是一个轻量级的Java快速开发平台，能快速开发项目并交付【接私活利器】
great-big-example-application:        A full-stack example app built with JHipster, Spring Boot, Kotlin, Angular 4, ngrx, and Webpack
